web_name,team,position,form,now_cost,selected_by_percent,event_points,total_points,ict_index,influence,creativity,threat,transfers_in_event,transfers_out_event,bonus,goals_scored,assists,goals_conceded,clean_sheets,saves,own_goals,penalties_missed,penalties_saved,penalties_order,yellow_cards,red_cards,starts,minutes,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,chance_of_playing_next_round,chance_of_playing_this_round,status,in_dreamteam,dreamteam_count,ep_this,ep_next,strength,is_GKP,goal_involvement
Mbe Soh,NFO,DEF,0.0,4.0,0.1,0,0,0.0,0.0,0.0,0.0,0,208,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Unavailable,0,0,0.0,0.0,3,0,0
McKenna,NFO,DEF,0.7,4.5,0.1,0,12,13.8,89.0,32.4,17.0,90,295,1,0,0,6,1,0,0,0,0,0.0,0,0,5,416,0.21,0.17,0.38,5.64,100.0,100.0,Available,0,0,0.7,0.7,3,0,0
Mighten,NFO,MID,0.0,4.4,0.0,0,0,0.0,0.0,0.0,0.0,0,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Unavailable,0,0,0.0,0.0,3,0,0
Niakhaté,NFO,DEF,-0.3,4.5,0.0,-2,1,2.9,24.0,5.4,0.0,50,268,0,0,0,4,0,0,0,0,0,0.0,0,1,2,179,0.0,0.04,0.04,5.39,0.0,100.0,Suspended,0,0,-0.3,0.0,3,0,0
O'Brien,NFO,MID,0.0,4.9,0.0,0,0,0.0,0.0,0.0,0.0,0,26,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Unavailable,0,0,0.0,0.0,3,0,0
Ojeda,NFO,MID,0.0,4.5,0.0,0,0,0.0,0.0,0.0,0.0,0,7,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Unavailable,0,0,0.0,0.0,3,0,0
Panzo,NFO,DEF,0.0,4.0,0.1,0,0,0.0,0.0,0.0,0.0,0,310,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Unavailable,0,0,0.0,0.0,3,0,0
O.Richards,NFO,DEF,0.0,4.4,0.0,0,0,0.0,0.0,0.0,0.0,0,57,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Unavailable,0,0,0.0,0.0,3,0,0
G.Scarpa,NFO,MID,0.0,4.5,0.0,0,0,0.0,0.0,0.0,0.0,0,60,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Unavailable,0,0,0.0,0.0,3,0,0
J.Shelvey,NFO,MID,0.0,4.800000000000001,0.0,0,0,0.0,0.0,0.0,0.0,0,90,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Unavailable,0,0,0.0,0.0,3,0,0
Surridge,NFO,FWD,0.0,4.5,0.2,0,0,0.0,0.0,0.0,0.0,0,774,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Unavailable,0,0,0.0,0.0,3,0,0
